Food|Calcium [mg]|Serving Size|Weight [g]|Percent water|Energy [kcal]|Protein [g]|Carbohydrate [g]|Fiber [g]|Cholesterol [mg]|Total Fat [g]|Saturate Fat [g]|Monosat Fat [g]|Polyunsat Fat [g]|Iron [mg]|Magnesium [mg]|Sodium [mg]|Phosphorous [mg]|Ca:P ratio|Potassium [mg]|Zinc [mg]|Niacin [mg]|Thiamin [mg]|Riboflavin [mg]|Vit A [RE]|Vit B6 [mg]|Vit C [mg]|Food type
Chicken - Roasted whole|21|1 cup|140|64|266|40,5|0|0|125|10,4|2,9|3,7|2,4|1,7|35|120|273|0,08|340|2,9|12,8|0,1|0,25|22|0,65|0|POULTRY
Ice Cream Vanilla |351|1 cup|133|61|269|4,8|31,8|0|60|14,4|8,9|4,1|0,5|0,1|19|116|134|2,62|257|1,4|0,14|0,05|0,33|133|0,06|1|DAIRY
Pork, rib roasted lean and fat|9|3 oz|85|51|270|21|0|0|69|20|7,3|9,2|2,3|0,8|16|37|190|0,05|313|1,7|4,17|0,5|0,24|3|0,3|0,3|MEAT
Sherbert (2% fat)|103|1 cup|193|66|270|2,2|59|0|14,1|3,8|2,4|1,1|0,2|0,3|15,5|87|74|1,39|199|1,3|0,13|0,03|0,09|38,5|0,02|4|DAIRY
Pork - Chops, Broiled lean & fat|4|3.1 oz|87|50|275|23,9|0|0|84|19,2|7|8,8|2,2|0,7|22|61|184|0,02|312|1,7|4,35|0,87|0,24|3|0,35|0,3|MEAT
Rhubarb cooked added sugar|348|1 cup|240|68|279|0,9|74,9|5,3|0|0,1|0|0|0,1|0,5|30|2|19|18,32|230|0,2|0,48|0,04|0,06|17|0,05|8|FRUITS
Avocado Calif 1/2 lb with refuse|19|1 ea|173|73|305|4|12|4,8|0|30|4,5|19,4|3,5|2|70|21|73|0,26|1097|0,7|3,32|0,19|0,21|106|0,48|14|FRUITS
Custard baked|297|1 cup|265|77|305|14|29|0|278|15|6,8|5,4|0,7|1,1|37|209|310|0,96|387|1,5|0,3|0,11|0,5|146|0,13|1|DAIRY
Corn dog|34|1 ea|111|45|330|10|27,3|0,1|37|20|8,4|10|1,4|1,9|22|1252|303|0,11|164|1,4|3,27|0,28|0,17|0|0,11|3|MIXED DISHES AND FAST FOODS
Egg Nog commercial|330|1 cup|254|74|342|9,7|34,4|0|149|19|11,3|5,7|0,9|0,5|47|138|278|1,19|420|1,2|0,27|0,09|0,48|203|0,13|4|DAIRY
