Food|Calcium [mg]|Serving Size|Weight [g]|Percent water|Energy [kcal]|Protein [g]|Carbohydrate [g]|Fiber [g]|Cholesterol [mg]|Total Fat [g]|Saturate Fat [g]|Monosat Fat [g]|Polyunsat Fat [g]|Iron [mg]|Magnesium [mg]|Sodium [mg]|Phosphorous [mg]|Ca:P ratio|Potassium [mg]|Zinc [mg]|Niacin [mg]|Thiamin [mg]|Riboflavin [mg]|Vit A [RE]|Vit B6 [mg]|Vit C [mg]|Food type
Cole slaw|54|1 cup|120|82|84|1,5|14,9|2,4|10|3,1|0,5|0,8|1,6|0,7|12|28|38|1,42|218|0,2|0,33|0,08|0,07|98|0,17|39|MIXED DISHES AND FAST FOODS
Lima Beans, thick seeded|19|1/2 cup|85|74|85|5,2|16|4,6|0|0,3|0,1|0|0,1|1,2|29|45|54|0,35|347|0,4|0,91|0,06|0,05|16|0,1|11|VEGETABLES AND LEGUMES
Salad Dressing - French Regular|2|1 tbsp|16|35|85|0,1|1|0,1|0|9|1,4|4|3,5|0,1|1|188|1|2|2|0|0|0|0|0|0,01|0|FATS AND OILS
Canadian style Bacon|5|2 pce|47|62|86|11,3|0,6|0|27|3,9|1,3|1,9|0,4|0,4|10|719|138|0,04|181|0,8|3,22|0,38|0,09|0|0,21|10|MEAT
Skim Milk|302|1 cup|245|91|86|8,3|11,9|0|4|0,4|0,3|0,1|0|0,1|28|126|247|1,22|406|0,9|0,22|0,09|0,34|149|0,1|2|DAIRY
Marshmallows|2|4 ea|28|17|90|0,6|23|0|0|0|0|0|0|0,1|1|55|23|0,09|91|0|0,2|0,01|0,01|0|0,01|0|SWEETENERS AND SWEETS
Cantaloupe|29|1/2 ea|267|90|94|2,4|22,3|2,7|0|0,7|0,1|0,1|0,2|0,6|19|24|45|0,64|825|0,4|1,53|0,1|0,06|861|0,31|113|FRUITS
Peanut Butter|5|1 tbsp|16|2|95|4,6|2,5|1,2|0|8,2|1,4|4|2,5|0,3|28|75|60|0,08|110|0,5|2,15|0,02|0,02|0|0,06|0|NUTS, SEEDS AND PRODUCTS
Scrambled with milk and butter|54|1 ea|64|73|95|6|1,4|0|282|7,1|3|2,8|0,8|0,9|109|176|109|0,5|97|0,7|0,04|0,04|0,18|102|0,06|0|EGGS
Gin, Rum, Vodka, Whiskey 80 proof|0|1 1/2 fl oz|42|67|97|0|0,1|0|0|0|0|0|0|0|0|0,4|2|0|1|0|0,01|0,01|0,01|0|0|0|BEVERAGES
Pears raw Bartlett|19|1 ea|166|84|98|0,7|25,1|5|0|0,7|0|0,1|0,2|0,4|9|1|18|1,06|208|0,2|0,17|0,03|0,07|3|0,03|7|FRUITS
Buttermilk|285|1 cup|245|90|99|8,1|11,7|0|9|2,2|1,3|0,6|0,1|0,1|26|257|219|1,3|371|1|0,14|0,08|0,38|20|0,08|2|DAIRY
Cheese - Cream|23|1 oz|28|54|99|2,1|0,8|0|31|9,9|6,2|2,8|0,4|0,3|2|84|30|0,77|34|0,3|0,03|0,01|0,06|124|0,01|0|DAIRY
Beer Light (12 fl oz)|18|1 1/2 cups|354|95|100|0,7|4,6|0,3|0|0|0|0|0|0,1|18|10|43|0,42|64|0,1|0,01|0,01|0,01|0|0,12|0|BEVERAGES
Cheese - Blue|150|1 oz|28|42|100|6,1|0,7|0|21|8,1|5,3|2,2|0,2|0,1|7|396|110|1,36|73|0,8|0,29|0,01|0,11|65|0,05|0|DAIRY
Salad Dressing Mayonnaise|2|1 tbsp|14|15|100|0,2|0,4|0|8|11|1,7|3,2|5,8|0,1|1|80|4|0,5|5|0|0,01|0,01|0,01|12|0,01|0|FATS AND OILS
Cheese Gouda|198|1 oz|28|42|101|7,1|0,6|0|0,32|7,7|5|2,2|0,2|0,1|8|232|155|1,28|34|1,1|0,02|0,01|0,1|49|0,02|0|DAIRY
Frankfurter, turkey|53|1 ea|45|63|102|6,4|0,7|0|44|8,3|2,4|2,7|2,1|0,8|8|550|71|0,75|84|1|1,77|0,11|0,12|17|0,09|0|SAUSAGES AND LUNCHMEATS
Banana raw without peel|7|1 ea|114|74|105|1,2|26,7|3,3|0|0,5|0,2|0|0,1|0,3|32|1|22|0,32|451|0,2|0,62|0,05|0,11|9|0,66|10|FRUITS
Snack cakes, chocolate|21|1 ea|28|20|105|1|17|0,1|15|4|1,7|1,5|0,6|1|2|105|26|0,81|34|0,2|0,7|0,06|0,09|4|0,01|0|BAKED GOODS
Cheese - Monterey Jack|212|1 oz|28|41|106|6,9|0,2|0|26|8,6|5,4|2,3|0,2|0,2|8|152|126|1,68|23|0,8|0,02|0,01|0,11|81|0,02|0|DAIRY
Cheese - Swiss|272|1 oz|28|37|107|8|1|0|26|7,8|5|2,1|0,3|0|10|74|171|1,59|31|1,1|0,03|0,01|0,1|72|0,02|0|DAIRY
Trix cereal|6|1 cup|28|2|108|1,5|24,9|0,2|0|0,4|0,2|0,1|0,1|4,5|6|179|19|0,32|26|0,1|4,9|0,4|0,4|375|0,5|15|GRAIN PRODUCTS
Peaches juice pack|15|1 cup|248|88|109|1,6|28,7|4,1|0|0,1|0|0|0|0,7|18|11|43|0,35|317|0,3|1,44|0,02|0,04|94|0,05|9|FRUITS
Pork, Bacon medium slices|2|3 pce|19|13|109|5,8|0,1|0|16|9,3|3,3|4,5|1,1|0,3|5|303|64|0,03|92|0,6|1,39|0,13|0,05|0|0,05|6|MEAT
French fries oven heated|4|10 strips|50|53|111|1,7|17|1,6|0|4,4|2,1|1,8|0,3|0,7|11|15|43|0,09|229|0,2|1,15|0,06|0,01|0|0,12|6|VEGETABLES AND LEGUMES
Orange juice|27|1 cup|248|88|111|1,7|25,8|0,5|0|0,5|0,1|0,1|0,1|0,5|27|2|42|0,64|496|0,1|0,99|0,22|0,07|50|0,1|124|FRUITS
Grape Drink Canned|18|1 cup|250|88|112|0|34,7|0,3|0|0|0|0|0|0,8|15|34|14|1,29|154|0,1|0,67|0,07|0,04|9|0,1|115|BEVERAGES
Cheese - Cheddar cut pieces|204|1 oz|28|37|114|7,1|0,4|0|30|9,4|6|2,7|0,3|0,2|8|176|146|1,4|28|0,9|0,02|0,01|0,11|86|0,02|0|DAIRY
Apple juice|17|1 cup|248|88|116|0,1|29|0,5|0|0,3|0|0|0,1|0,9|8|7|17|1|295|0,1|0,25|0,05|0,04|0|0,07|2|FRUITS
Salmon, canned pink solids|167|3 oz|85|71|120|17|0|0|34|5|0,9|1,5|2,1|0,7|23|443|243|0,69|307|0,8|6,8|0,03|0,15|18|0,38|0|FISH AND SHELLFISH
Milk - 2% Low Fat|297|1 cup|244|89|121|8,1|11,7|0|22|4,8|2,9|1,3|0,2|0,1|33|122|232|1,28|377|1|0,21|0,1|0,4|140|0,1|2|DAIRY
Beef gravy canned|14|1 cup|233|88|124|8,7|11,2|0,4|7|5,5|2,8|2,3|0,2|1,6|3|117|70|0,2|189|2,3|1,54|0,07|0,08|0|0,02|0|SOUPS, SAUCES, AND GRAVIES
Lucky Charms cereal|36|1 cup|32|3|125|2,9|26,1|0,7|0|1,2|0,2|0,4|0,5|5,1|27|227|88|0,41|66|0,6|5,6|0,4|0,5|424|0,6|17|GRAIN PRODUCTS
Mango raw edible part|21|1 ea|207|82|135|1,1|35,2|2,9|0|0,6|0,1|0,2|0,1|0,3|18|4|22|0,95|323|0,1|1,21|0,12|0,12|806|0,28|57|FRUITS
Yogurt whole milk|275|1 cup|227|88|138|7,9|10,6|0|29|7,4|4,8|2|0,2|0,1|27|104|216|1,27|352|1,3|0,17|0,07|0,32|68|0,07|1|DAIRY
English muffin, plain|96|1 ea|57|42|140|4,5|26,2|1,5|0|1,1|0,3|0,2|0,3|1,7|11|378|67|1,43|331|0,4|2,14|0,26|0,18|0|0,02|0|BAKED GOODS
Fishsticks|22|2 ea|56|52|140|12|8|0|52|6|1,6|2,8|1,6|0,6|32|106|116|0,19|188|0,5|1,2|0,06|0,1|10|0,12|0|FISH AND SHELLFISH
Muffins Blueberry, commercial|15|1 ea|45|33|140|2,7|22|1,3|45|4,9|1,4|2|1,2|0,9|5|225|90|0,17|54|0,2|1,17|0,11|0,13|11|0,01|0,5|BAKED GOODS
Pineapple, juice canned|43|1 cup|250|86|140|0,8|34,4|0,8|0|0,2|0|0|0,1|0,6|34|3|20|2,15|335|0,3|0,64|0,14|0,06|1|0|27|FRUITS
Salmon - Broiled or baked|26|3 oz|85|67|140|21|0|0|60|5|1,2|2,4|1,4|0,5|26|55|269|0,1|305|0,9|5,5|0,18|0,14|87|0,68|0|FISH/SHELLFISH
Apricot nectar canned|18|1 cup|251|85|141|0,9|36,1|1,5|0|0,2|0|0,1|0|1|13|8|23|0,78|286|0,2|0,65|0,02|0,04|330|0,16|2|FRUITS
Beef dried chipped|14|2.5 oz|72|48|145|24|0|0|46|4|1,8|2|0,2|2,3|27|3053|287|0,05|142|4,1|2,7|0,05|0,23|0|0,14|0|MEAT
Frankfurter, beef and pork|5|1 ea|45|54|145|5,1|1,1|0|23|13,1|4,8|6,1|1,2|0,5|5|504|39|0,13|75|0,8|1,18|0,09|0,05|0|0,06|12|SAUSAGES AND LUNCHMEATS
Turkey - Roasted whole, slices|21|3 oz|85|65|145|24,9|0|0|64|4,2|1,4|0,9|1,2|1,5|22|60|181|0,12|254|2,6|4,63|0,05|0,15|0|0,39|0|POULTRY
Beer Regular (12 fl oz)|18|1 1/2 cups|356|92|146|0,9|13,2|0,7|0|0|0|0|0|0,1|23|19|44|0,41|89|0,1|1,61|0,02|0,09|0|0,18|0|BEVERAGES
Potato chips|7|14 chips|28|2|148|1,8|14,7|0,5|0|10,1|2,6|1,8|5,2|0,3|17|133|43|0,16|369|0,3|1,19|0,04|0,01|0|0,14|12|VEGETABLES AND LEGUMES
Milk - Whole|291|1 cup|244|88|150|8|11,4|0|33|8,1|5,1|2,3|0,3|0,1|33|120|228|1,28|370|0,9|0,2|0,09|0,4|76|0,1|2|DAIRY
Root Beer (12 fl oz)|19|1 1/2 cups|370|89|152|0,1|39,2|0|0|0|0|0|0|0,2|4|49|2|9,5|3|0,3|0|0|0|0|0|0|BEVERAGES
Corn Chips|35|1 oz|28|1|155|2|16|0,3|0|9|1,4|2,4|3,7|0,5|19|233|52|0,67|52|0,4|0,4|0,04|0,05|11|0,04|1|BAKED GOODS
French fries fried in veg oil|10|10 strips|50|38|158|2|19,8|1,6|0|8,3|2,5|1,6|3,8|0,4|17|108|47|0,21|366|0,2|1,63|0,09|0,01|0|0,12|5|VEGETABLES AND LEGUMES
Kefir|350|1 cup|233|82|160|9,3|8,8|0|10|4,5|2,9|1,2|0,1|0,5|28|50|319|1,1|205|0,9|0,3|0,45|0,44|155|0,09|6|DAIRY
Oysters - raw Pacific|202|1 cup|240|85|160|21|8|0|120|5|1,8|0,7|1,8|16,8|54|185|379|0,53|290|74,4|6|0,29|0,43|223|0,13|24|FISH/SHELLFISH
Oysters Eastern raw|226|1 cup|240|85|160|20|8|0|120|4|1,4|0,5|1,4|15,6|116|175|343|0,66|290|96,7|6|0,34|0,43|223|0,13|24|FISH AND SHELLFISH
Pine nuts/pinyon dried|2|1 oz|28|6|161|3,3|5,5|1,7|0|17,3|2,6|6,5|7,3|0,9|67|20|10|0,2|178|1,2|1,24|0,35|0,06|1|0,08|1|NUTS, SEEDS AND PRODUCTS
Potatoes mashed|55|1 cup|210|78|162|4,1|36,9|1,2|4|1,2|0,7|0,3|0,1|0,6|39|636|100|0,55|628|0,6|2,35|0,18|0,08|12|0,49|14|VEGETABLES AND LEGUMES
Tuna, oil packed|7|3 oz|85|61|165|24|0|0|55|7|1,4|1,9|3,1|1,6|27|303|199|0,04|298|0,9|10,1|0,04|0,09|20|0,47|0|FISH AND SHELLFISH
Trout broiled w/butter & lemon|26|3 oz|85|63|175|21|0,3|0|71|9|4,1|2,9|1,6|1|30|122|259|0,1|297|0,2|2,3|0,07|0,07|60|0,41|1|FISH AND SHELLFISH
Orange (12 fl oz)|19|1 1/2 cups|372|88|177|0|45,8|0|0|0|0|0|0|0,2|4|46|4|4,75|9|0,4|0|0|0|0|0|0|BEVERAGES
