nn,act_fun,paper (%),ours_final_epoch (%),ours_best_epoch (%),average_training_time (s)
densenet-121,swish,90.92,90.68 ± 0.28,91.10 ± 0.00,9604.06 ± 355.49
densenet-121,relu,91.09,90.8 ± 0.09,91.19 ± 0.32,9590.13 ± 51.02
