nn,paper (%),ours_final_epoch (%),ours_best_epoch (%),average_training_time (s)
vgg-16,93.59 ± 0.16,93.53 ± 0.08,93.57 ± 0.08,1643.24 ± 7.73
(pre)resnet-164,95.56 ± 0.11,95.62 ± 0.05,95.71 ± 0.02,6968.53 ± 117.24
