nn,paper (%),ours_final_epoch (%),ours_best_epoch (%),average_training_time (s)
resnext-50,67.58,68.19 ± 0.15,68.86 ± 0.19,12308.98 ± 6.71
densenet-121,66.31,65.94 ± 0.56,66.95 ± 0.26,9246.68 ± 22.69
