act_fun,lr_init,swa_lr,final_epoch (%),best_epoch (%),average_training_time (s)
relu,0.05,0.01,93.43 ± 0.02,93.46 ± 0.002,1662.04 ± 11.28
mish,0.05,0.01,±,±,±
--,--,--,--,,
relu,0.001,0.001,±,±,±
mish,0.001,0.001,±,±,±
--,--,--,--,,
relu,0.01,0.01,±,±,±
mish,0.01,0.01,±,±,±
