,Epoch,Time per epoch,Avg time per step,Train loss,Train accuracy,Train top-3 accuracy,Test loss,Test accuracy,Test top-3 accuracy
0,0.0,123.28201723098755,0.1576496384027974,3.489923357353796,0.1791480179028133,0.33877477621483376,2.838895784062185,0.2828423566878981,0.49850716560509556
1,1.0,123.18326997756958,0.1575233631426721,2.5374395319872804,0.340712915601023,0.5618006713554987,2.2604834501910362,0.40515525477707004,0.6273885350318471
2,2.0,123.02833461761475,0.15732523608390633,2.0735594589082176,0.4436940537084399,0.6689777813299232,1.8434729781120447,0.4903463375796178,0.7183519108280255
3,3.0,123.24481773376465,0.15760206871325402,1.7784109361031477,0.5122882033248082,0.7324768222506394,1.6752300102999256,0.538515127388535,0.7614450636942676
4,4.0,123.21096920967102,0.15755878415558955,1.5583559367662805,0.563119405370844,0.7772338554987213,1.5485284275310054,0.5673765923566879,0.7797571656050956
5,5.0,123.28035044670105,0.15764750696509086,1.3876483177437502,0.6046795076726342,0.8126998081841432,1.4498213172718217,0.5907643312101911,0.8016520700636943
6,6.0,123.133615732193,0.15745986666520842,1.23024203321513,0.6455802429667519,0.8421115728900256,1.3629467506317576,0.6209195859872612,0.8184713375796179
7,7.0,123.27035331726074,0.15763472291209812,1.1005363350786517,0.6790081521739131,0.8649096867007673,1.3350756426525723,0.6321656050955414,0.8279259554140127
8,8.0,123.32597637176514,0.15770585213780708,0.977748862541545,0.7099784207161125,0.8850903132992327,1.230727332412817,0.6603304140127388,0.8449442675159236
9,9.0,123.01873350143433,0.15731295844173188,0.8719264263920772,0.7395700127877238,0.9051510549872123,1.2941629320952543,0.6508757961783439,0.8403662420382165
10,10.0,123.16466641426086,0.15749957341977092,0.7754074877027965,0.765744884910486,0.921875,1.288667427886064,0.6560509554140127,0.8439490445859873
11,11.0,123.06631135940552,0.15737379969233442,0.6808759934457062,0.7915201406649617,0.9353820332480819,1.3138746752101145,0.6599323248407644,0.8457404458598726
12,12.0,123.2479875087738,0.15760612213398184,0.6008078825595738,0.8134990409207161,0.9461317135549873,1.3096794288629179,0.6609275477707006,0.8432523885350318
13,13.0,123.3221127986908,0.15770091150727722,0.5347263695067151,0.8307824488491049,0.9560022378516624,1.35174036538525,0.6607285031847133,0.8477308917197452
14,14.0,123.2308554649353,0.15758421414953364,0.4709712038640781,0.8517623081841432,0.963974584398977,1.3573270793173724,0.6687898089171974,0.8472332802547771
