IdDistrito$Nome
1$aveiro
2$beja
3$braga
4$braganca
5$castelo branco
6$coimbra
7$faro
8$guarda
9$leiria
10$lisboa
11$portalegre
12$porto
13$santarem
14$setubal
15$viana do castelo
16$vila real
17$viseu
18$evora
